author_id	full_name	first_name	n_pubs	gender	discipline
34457867	van ranst, e	eric	138	m	AGRICULTURE AND FOOD SCIENCE
34682188	klitgaard, h	henrik	114	m	CLINICAL MEDICINE
34930829	arrese, je	jorge e.	80	m	CLINICAL MEDICINE
35148859	omey, e	edward	51	m	STATISTICAL SCIENCES
35390255	persoons, a	andre	315	m	CHEMISTRY AND CHEMICAL ENGINEERING
35649163	fontaine, c	christel	48	f	CLINICAL MEDICINE
35869044	gabriels, d	donald	118	m	AGRICULTURE AND FOOD SCIENCE
36713590	rorive, s	sandrine	83	f	CLINICAL MEDICINE
36713717	van camp, m	mark	18	m	CLINICAL MEDICINE
36718702	vincke, j	john	29	m	SOCIAL AND BEHAVIORAL SCIENCES, INTERDISCIPLINARY
38714508	jouan, c	caroline	22	f	CLINICAL MEDICINE
40526499	desmaele, d	dirk	10	m	CHEMISTRY AND CHEMICAL ENGINEERING
40829495	de bie, s	sylvia	7	f	BASIC LIFE SCIENCES
40984794	dubuisson, a	annie s.	19	f	CLINICAL MEDICINE
40994915	de ridder, h	herman	10	m	CHEMISTRY AND CHEMICAL ENGINEERING
41020294	andre, l	luc	92	m	EARTH SCIENCES AND TECHNOLOGY
41249354	roelants, m	mathieu	69	m	CLINICAL MEDICINE
41488908	de backer, s	steve	23	m	EARTH SCIENCES AND TECHNOLOGY
41772111	mertens, pw	paul w.	121	m	PHYSICS AND MATERIALS SCIENCE
42044255	solar, pm	peter m.	11	m	HISTORY, PHILOSOPHY AND RELIGION
42562788	pintelon, l	liliane	39	f	GENERAL AND INDUSTRIAL ENGINEERING
43230441	sylvester, r	richard	367	m	CLINICAL MEDICINE
43553232	kasran, a	ahmad	90	m	BIOMEDICAL SCIENCES
43569914	journe, f	fabrice	131	m	CLINICAL MEDICINE
44147285	pierard, d	denis	161	m	CLINICAL MEDICINE
44432835	albert, a	adelin	115	m	CLINICAL MEDICINE
44703277	de foer, b	bert	46	m	CLINICAL MEDICINE
44725080	goormaghtigh, e	erik	249	m	BASIC LIFE SCIENCES
44977561	van eccelpoel, c	caroline	6	f	PSYCHOLOGY
45311052	eggerickx, t	thierry	3	m	SOCIAL AND BEHAVIORAL SCIENCES, INTERDISCIPLINARY
45518677	geusens, e	eric	14	m	BIOMEDICAL SCIENCES
45728228	sele, j	jocelyne	21	f	CLINICAL MEDICINE
45753964	aerts, r	raymond	181	m	CLINICAL MEDICINE
46040886	gassler, rs	robert scott	6	m	ECONOMICS AND BUSINESS
46830141	beuthe, m	michel	8	m	ELECTRICAL ENGINEERING AND TELECOMMUNICATION
47011571	blairy, s	sylvie	51	f	CLINICAL MEDICINE
47036614	tartinville, b	benoit	11	m	EARTH SCIENCES AND TECHNOLOGY
47396800	meersman, f	filip	72	m	BASIC LIFE SCIENCES
47683920	de schrijver, a	an	81	f	ENVIRONMENTAL SCIENCES AND TECHNOLOGY
47917019	vanhaecke, j	johan	217	m	CLINICAL MEDICINE
50001331	gastaldello, k	karine	19	f	CLINICAL MEDICINE
2909182	witvrouw, m	myriam	188	f	BIOMEDICAL SCIENCES
3217287	ahn, sa	sylvie a.	89	f	CLINICAL MEDICINE
3754568	duez, n	nicole j.	51	f	CLINICAL MEDICINE
3992216	alegria, j	jesus	33	m	PSYCHOLOGY
4555262	lievens, p	peter	237	m	PHYSICS AND MATERIALS SCIENCE
5913507	vercammen, m	martine	17	f	BIOMEDICAL SCIENCES
6178335	cherot, f	frederic	25	m	BIOLOGICAL SCIENCES
6388518	picard, jj	jacques j.	53	m	BASIC LIFE SCIENCES
6391060	baert, l	leon	16	m	BIOLOGICAL SCIENCES
6854560	mees, u	urbain	21	m	CLINICAL MEDICINE
6880366	beele, h	hilde	53	f	CLINICAL MEDICINE
7130784	van steenberghe, d	daniel	314	m	CLINICAL MEDICINE
7402430	renson, c	catherine	21	f	CLINICAL MEDICINE
7420169	van huylenbroeck, g	guido	149	m	ENVIRONMENTAL SCIENCES AND TECHNOLOGY
7681853	verbraecken, j	johan	108	m	CLINICAL MEDICINE
8302689	varin, o	oswald	8	m	CLINICAL MEDICINE
8318633	aerts, g	guido	40	m	BASIC LIFE SCIENCES
